itstId,itstNm,lat,lng,regDt
1536,부암동주민센터,37.592851,126.964058,2022-12-12T16:30:39.000+00:00
1537,정동,37.568327,126.969161,2022-12-12T16:30:39.000+00:00
1546,등서초교입구,37.552679,126.853288,2022-12-12T16:30:39.000+00:00
155,송정동공영주차장,37.550157,127.068538,2022-12-12T16:30:40.000+00:00
1554,대조초교,37.613253,126.917613,2022-12-12T16:30:39.000+00:00
156,혜화동로터리,37.585536,127.001197,2022-12-12T16:30:39.000+00:00
1567,응암1동경향렉스빌,37.601064,126.925125,2022-12-12T16:30:39.000+00:00
157,세운상가,37.570568,126.995043,2022-12-12T16:30:39.000+00:00
1574,동대문역,37.572014,127.012257,2022-12-12T16:30:39.000+00:00
158,청계6가,37.569942,127.009689,2022-12-12T16:30:39.000+00:00
160,삼성힐스테이트2단지앞,37.512433,127.051197,2022-12-12T16:30:39.000+00:00
1602,대일고교,37.539315,126.863723,2022-12-12T16:30:40.000+00:00
161,세곡동주민센터앞,37.469240,127.107962,2022-12-12T16:30:39.000+00:00
1611,탑골공원,37.571604,126.987635,2022-12-12T16:30:39.000+00:00
1612,군악대,37.501868,126.979786,2022-12-12T16:30:40.000+00:00
1619,서울역사박물관,37.569843,126.971325,2022-12-12T16:30:39.000+00:00
1620,국일관,37.570302,126.989730,2022-12-12T16:30:39.000+00:00
1627,영림중,37.496963,126.892101,2022-12-12T16:30:40.000+00:00
1648,한전성서지점,37.605741,126.934124,2022-12-12T16:30:39.000+00:00
1649,대성주유소,37.603858,126.934910,2022-12-12T16:30:39.000+00:00
165,신목동역,37.544140,126.883113,2022-12-12T16:30:39.000+00:00
1650,가양주유소앞,37.566171,126.845530,2022-12-12T16:30:39.000+00:00
1656,수락산역남측,37.676055,127.055283,2022-12-12T16:30:40.000+00:00
1659,당산중,37.532008,126.905756,2022-12-12T16:30:40.000+00:00
1661,노일초교,37.673971,127.055403,2022-12-12T16:30:40.000+00:00
1662,가좌역,37.569115,126.915272,2022-12-12T16:30:39.000+00:00
167,압구정현대아파트77동앞,37.530293,127.027714,2022-12-12T16:30:39.000+00:00
1670,화양사거리,37.548327,127.067470,2022-12-12T16:30:40.000+00:00
1694,성수1차대우아파트,37.545567,127.065930,2022-12-12T16:30:40.000+00:00
1722,성수2가,37.540307,127.062936,2022-12-12T16:30:40.000+00:00
173,영동전화국,37.505032,127.041626,2022-12-12T16:30:39.000+00:00
1730,삼성관음아파트,37.552642,126.870003,2022-12-12T16:30:39.000+00:00
1736,수락초교,37.683681,127.055430,2022-12-12T16:30:40.000+00:00
1737,용산역앞,37.526443,126.965271,2022-12-12T16:30:39.000+00:00
1738,홍파복지원,37.680688,127.055443,2022-12-12T16:30:40.000+00:00
1742,도봉면허시험장,37.657953,127.059561,2022-12-12T16:30:40.000+00:00
1743,"상계2,6단지",37.651439,127.061358,2022-12-12T16:30:40.000+00:00
1744,중계근린공원,37.641122,127.065929,2022-12-12T16:30:40.000+00:00
1745,노원구민의정당,37.638739,127.066998,2022-12-12T16:30:40.000+00:00
1746,하계역,37.635961,127.068213,2022-12-12T16:30:40.000+00:00
1747,농협공릉지점,37.622244,127.074123,2022-12-12T16:30:40.000+00:00
175,역삼금호어울림,37.492650,127.034099,2022-12-12T16:30:39.000+00:00
176,우리은행역삼,37.493516,127.040370,2022-12-12T16:30:39.000+00:00
1797,마들역,37.664543,127.057826,2022-12-12T16:30:40.000+00:00
1807,삼성해청아파트,37.517678,127.043758,2022-12-12T16:30:39.000+00:00
1812,신설동역,37.575580,127.023227,2022-12-12T16:30:39.000+00:00
1813,광화문,37.575572,126.976850,2022-12-12T16:30:39.000+00:00
1814,종로6가,37.571103,127.006708,2022-12-12T16:30:39.000+00:00
1815,경복궁,37.575854,126.979420,2022-12-12T16:30:39.000+00:00
1816,종로4가,37.570742,126.997769,2022-12-12T16:30:39.000+00:00
1817,종로구청입구,37.570202,126.979314,2022-12-12T16:30:39.000+00:00
1818,종로백화점약국,37.571040,127.003762,2022-12-12T16:30:39.000+00:00
1819,종로1가,37.570226,126.982975,2022-12-12T16:30:39.000+00:00
1820,종로2가,37.570205,126.987685,2022-12-12T16:30:39.000+00:00
1821,세종대로사거리,37.570175,126.977029,2022-12-12T16:30:39.000+00:00
1822,통인교차로,37.579453,126.971349,2022-12-12T16:30:40.000+00:00
1823,신교동,37.583844,126.970395,2022-12-12T16:30:40.000+00:00
1826,안국역,37.576858,126.986180,2022-12-12T16:30:39.000+00:00
1827,통인시장,37.581461,126.970864,2022-12-12T16:30:40.000+00:00
1828,하림각,37.597819,126.962612,2022-12-12T16:30:39.000+00:00
1829,자하문터널북단,37.595180,126.963652,2022-12-12T16:30:39.000+00:00
1830,재향군인회,37.573361,126.997578,2022-12-12T16:30:39.000+00:00
1831,혜화역,37.582947,127.001763,2022-12-12T16:30:39.000+00:00
1832,무악재역,37.581977,126.950518,2022-12-12T16:30:39.000+00:00
1835,광교,37.569037,126.982779,2022-12-12T16:30:39.000+00:00
1836,합청,37.579417,126.973826,2022-12-12T16:30:39.000+00:00
1838,구기동정류장,37.607033,126.958785,2022-12-12T16:30:39.000+00:00
1839,종로5가,37.571001,127.001925,2022-12-12T16:30:39.000+00:00
